Text	Class
@BancodoBrasil Só que as diretrizes só beneficiam o BB que ainda fica ganhando com o dinheiro da PJ bloqueado na agência. Isto é justo?😡	
@BancodoBrasil não é justo deixar uma PJ sem acesso ao Gerenciador Financeiro e ao seus recursos por burocracia	
@BancodoBrasil confirmei meu endereço na central, se escreveram ele errado já não é comigo, né? vc até q ok mas a central é um nojo.	-1
@BancodoBrasil bom dia. está dando q meu cartão nao foi entregue por endereço errado. vai rolar processinho, ou vou receber esse cartao?	-1
@BancodoBrasil Financiamento do Minha casa minha vida, existe algum link onde posso ter maiores informações? Sou Correspondente Bancário	0
Aí você vai ao banco pensando que pode sacar dinheiro as 5:30 né, quando você entra lá o alarme dispara, obrigado pelo susto @BancodoBrasil.	
se eu conseguisse pagar com débito online né @BancodoBrasil ........	
@BancodoBrasil Solicitantes de Refugiados também podem abrir essa conta?	
Saudades quando os bancos falavam sobre kpop kkkkk @BancodoBrasil  @Bradesco	
@BancodoBrasil  fui na minha agência e eles falaram que não trabalhavam com conta fácil onde eu devo ir ? Devo jogar meu cartão no lixo ?	
@pabllofeitosa17 @BancodoBrasil BB ruim	-1
@BancodoBrasil a troca da bandeira elo pelo visa,pois não quero elo ???	
@BancodoBrasil olá, tudo bom? Então tenho interesse em trocar o cão do Santander por vocês, mas tenho uma dúvida : Vocês vão dificultar..+	
@BancodoBrasil tô. no SPC. ...serviço que protegem meus créditos.....kkkkkkkk agradecida. ...kkkkkkkk	
Tô com uma gastura danada ao abrir o app do @BancodoBrasil. Isso pq a minha foto do perfil só fica de lado. Pense no descontrole? Credooo! 👊	
@BancodoBrasil Eu achei muito legal essa nova funcionalidade do App	1
@BancodoBrasil Ainda vou ver esse banco privatizado.	0
@BancodoBrasil @santander_br @Bradesco @itau isso me deem vacuo mesmo, vou abrir uma conta na @Caixa	
@BancodoBrasil @santander_br @Bradesco @itau entre você quatro, qual o melhor banco pra eu abrir uma conta?	
@BancodoBrasil ta de brincadeira comigo não é possível	-1
@BancodoBrasil não consigo abrir uma conta pelo app, a mensagem SMS nunca chega...	0
@BancodoBrasil entendi,muito obrigado pela atenção ... Então é só ir no banco em que recebo meu salário e pedir migração imediata pro BB?	0
@BancodoBrasil obrigado pelo retorno e atenção, abraço.	1
Bom, já que não da pra cancelar de maneira fácil o cartão no @BancodoBrasil, amanhã vou na agencia e cancelo a conta corrente também (:	0
@BancodoBrasil ja abri. Apenas não me enviaram numero da conta. Nem como fazer pra movimenta-la	
@BancodoBrasil detalhe que abrir a conta via app e não tinha senha de 8 dig, so criei uma de 6.	
@BancodoBrasil tentei acessar a conta no site e no app, pedem a senha de 8 dig e sempre da erro ao acessar tanto no site como no app.	
caramba como faz pra cancelar o cartão do @BancodoBrasil? Não tem essa opção naquele menu do 0800 --'	
@BancodoBrasil que eu já perdi as contas de quanto tempo tô com vcs e já perdi as contas de quantas vezes reclamei e ninguém faz nada!	-1
@BancodoBrasil minha antiga agência! Portanto, não consigo fazer a senha da internet!! Uma coisa tão simples que vcs burocratizam tanto	-1
@BancodoBrasil poq eu tenho que ir até a minha agência fazer isso! Mas, como muitas coisas na vida mudam, eu não passo nem perto mais da	
@BancodoBrasil propaganda bonita e tals!! Mas não dá pra contar com vcs sempre! Tipo, tô tentando fazer a senha da internet e nada até agora	-1
Os bancos @itau e @BancodoBrasil resolveram 'marketilizar' as emoções. Acho ridículo isso.	-1
Vou tentar ne relacionar com o @BancodoBrasil	1
@BancodoBrasil  pode me dizer porque eu como cliente PJ Não posso sacar dinheiro no banco 24 hrs?  Por favor sem respostas padrão.	
Esta campanha de fim de ano do @BancodoBrasil, 'Amor I Love You' é tipo a música 'Você' do #DeadFish? O amor é o dinheiro?	
@BancodoBrasil poluição visual de um banco afundado em corrupção	-1
#FicaADica do @alediasdasilva ContaFacilFailDoBB do @BancodoBrasil  Nem tudo é o q o parece!Conta p/receber mesada… https://t.co/4jFiahrrR6	
@BancodoBrasil olhem a dm	
ei @BancodoBrasil pq eu pago uma taxa todo mês se meu cartao é so debito e minha conta é universitaria?	
Apesar d tudo q soube hj sobre o prod. q adquiri do @BancodoBrasil  c/1monte d infos. ocultadas na propaganda.Fui mto bem atendido aki no TT	1
Cta fácil via App do @BancodoBrasil é p/brincar de ter continha em bco,  até seu $ p/receber, tem limite d recebimento(oculto no comercial)	
@NetflixBrasil quero débito em conta no @BancodoBrasil querida!!	1
@BancodoBrasil esperando o meu cartão até hoje fiz a pesquisa no site dos correios e ele disse que foi entregue,como se eu nem recebi?	
1 ALERTA P/ seguidores On, entre os 83k.  SE VER O comercial DA tal Cta/Fácil do @BancodoBrasil. É FRIA! Cta p/ criança brincar de casinha!	
@BancodoBrasil opa, bom saber. Valeu :)	
@BancodoBrasil já enviei uma dm	
@BancodoBrasil como faço pra tirar outra senha de letras? Não sei a minha e não pude sacar 😰	
@Felipeinsano @BancodoBrasil tem como então deposita dinheiro via telefone? não sabia	
@BancodoBrasil Ótimo atendimento de Gilberto e Michel, da Agência 3518, Centro do Rio de Janeiro/RJ, hoje à tarde.	1
Achei um amor o @BancodoBrasil me responder. Tava precisando mesmo	1
@BancodoBrasil Boa tarde. Meu cartão ainda não chegou, mas assim que chegar irei fazer isso. Obrigada pela atenção ☺️	1
@BancodoBrasil me contratem novamente, quero voltar para o CENOP, fazer os cálculos, por favooooooor ❤	0
@BancodoBrasil Não estou conseguindo nenhuma conta pelo Navegador do PC. Pelo App está normal. Há algum problema ocorrendo com o site do BB?	
@BancodoBrasil eu não conseguir abrir minha conta, recebi a mensagem e depois não aconteceu nada	
@BancodoBrasil não respondeu meu Twitter	-1
@BancodoBrasil Olá, eu abrir a conta fácil, e quero movimentar, como trabalho com vendas, preciso. Quanto tempo pro cartão chegar? Obrigado	
@BancodoBrasil achei muito suspeita e não digitei o restante dos dados.	
@BancodoBrasil o app parece normal. não consigo acessar o internet banking. fui tentar agora e abriu essa tela. https://t.co/1DCpwsinxl	
@BancodoBrasil meu filho fez o cartao dele ja tem mais de 15 dias ja era pra te chegado como faz pra ele coloca em outro endereco pra chega	
@BancodoBrasil central de atendimento, pelo 40040001. Fiquei tão feliz de ter resolvido a questão q esqueci de fazer a avaliação e desliguei	1
@BancodoBrasil conta fácil grátis com todas aquelas cobranças? Aonde que tá o gratuito?	
I'm at @BancodoBrasil in Goiânia, GO https://t.co/DeDLtunHw7	0
@BancodoBrasil Em resumo, quanto terei de pagar todo mês?	
Eu aprender algo no trabalho kkkkkkkk nunca um dos piores lugares para se trabalhar e no @BancodoBrasil	-1
@BancodoBrasil Fui fazer 1 transação pelo internet banking usando meu Ourocard e apareceu a msg 'não há cartões para este cliente' e agora?	
@BancodoBrasil tô querendo tb	
I'm at @BancodoBrasil in João Pessoa, PB w/ @ceicinhamontei @alysson_z @sylviaregina_ca @aleciangeles https://t.co/htdTYDA2vS	0
"@BancodoBrasil não conseguir abrir a minha conta, teria como me orientar?
Boa tarde"	
@BancodoBrasil Boa tarde, como funciona essa conta fácil ela é tipo poupança??	
@BancodoBrasil Recebi a senha do meu cartão por SMS mas perdi, como faço para receber novamente no número Oi?	
"Pleno 2016 e você para cadastrar uma conta no
@BancodoBrasil tem que ir até a agência e assinar um papel. Igualzinho quando abriu em 1808."	-1
@BancodoBrasil Estranho que conseguia pagar mês passado (Mesmo valor), mudam as coisas sem falar nada? WTF	
@BancodoBrasil Tô tentando pagar minha fatura do Cartão, mas sempre volta essa mensagem VALOR PAGAMENTO SUPERIOR LIMITE (G237-833)	
@BancodoBrasil Não estou conseguindo instalar o Modulo de Segurança em meu computador com Windows 10.	
@BancodoBrasil Após + de 40 minutos de espera, gerente disse que o sindicato tinha 'mandado' fechar por problemas c/ ar condicionado. Pode?	-1
@BancodoBrasil Segurança  agredindo verbalmente quem perguntava motivo do fechamento. Começaram feriado 2 dias mais cedo?	-1
@BancodoBrasil Total desrespeito com clientes. Ninguém ou nada informando motivo do fechamento.	-1
Ag. da av. Imperador ( @BancodoBrasil) em #Fortaleza, abrindo hoje depois  das 13h, horário em que gerente e funcio… https://t.co/PNfD5YqH26	0
@BancodoBrasil legal, quase acreditei	
@BancodoBrasil Assim é fácil. Prender o dinheiro da Pessoa Jurídica é fácil. Quero ver gerir negócio com seriedade. Deveria fechar de vez.	-1
@BancodoBrasil Criam as regras para a PJ e a gente tem que se virar, só que dependemos de Registro no RCPJ e daí ficamos a ver navios	-1
@BancodoBrasil Até para as Pessoas Jurídicas o BB está cada vez pior. Setor Jurídico leva séculos para validar documentos.	
#RioBranco134anos explodindo @BancodoBrasil	
Trabalhando ainda (at @BancodoBrasil - Sede V in Brasília, DF) https://t.co/DIWfP7axuv	0
@BancodoBrasil melhor banco 👌👍	1
@thiagocanto_ uma das melhores coisas que o @BancodoBrasil  fez	1
@BancodoBrasil oi, eu pedi um cartão na agência só que agr eu n lembro se o cartão vai chegar na minha casa ou eu tenho q buscar, me ajuda?	
@BancodoBrasil eu esqueci todas as senhas dá minha conta fácil e agora travei minha conta, como devo fazer?	
@BancodoBrasil preciso de uma ajuda, estou fora do país e não consigo fazer saque	
Ativos S/A, eu não me chamo Lucas e não tenho pendências com o @BancodoBrasil, todo dia uma sms pra atrapalhar minha música	-1
Pra que eu tenho biometria cadastrado no @BancodoBrasil se saco sem cartão e com biometria não funciona pra clientes poupança?	0
I'm at @BancodoBrasil Ceará Mirim in Ceará Mirim, RN https://t.co/WFOoMqjUlo	0
@BancodoBrasil 1 hora e nada. Segunda vez que tento pegar meu cartão https://t.co/8oUnEEOobU	-1
@BancodoBrasil Olá! Quando tento imprimir o boleto da fatura do meu cartão só aparece uma página em branco.	
@BancodoBrasil as agências funcionarão normalmente dia 30/12?	
@BancodoBrasil obrigado	
Na última vez que estive na minha agência do @BancodoBrasil reclamei por haver apenas 3 caixas atendendo. Hoje, tem só dois hahaha.	-1
@BancodoBrasil  Atendimento Péssimo filas enormes caixas não Funcionan em Natal. Não tem ninguém pra atender https://t.co/LKBCEnwFoo	-1
@BancodoBrasil  em Natal agência Centro caixas eletrônicos estão sem Funcionar. Absurdo	-1
@BancodoBrasil todos os caixas do Banco do Brasil no centro dá Cidade estão sem Funcionar, providencias	-1
I'm at @BancodoBrasil in Goiânia, GO https://t.co/dhyW4Vq3eg	0
2017 vem aí e ainda precisamos de Java para acessar o internet banking do @BancodoBrasil e da @Caixa econômica.	-1
@BancodoBrasil @equeiroga2014 Mas dar pra fazer transferência pelo app?	
@BancodoBrasil Com o aplicativo da fazer transferência ?ou precisa ir na agência fazer algum cadastro?	
@rfischmann @BancodoBrasil Nem com Java o meu está funcionando 😣	-1
@BancodoBrasil por que vocês tiraram o DDA do app do gerenciador financeiro?	
@BancodoBrasil tá bem difícil agência 7067x por favor verificar! Descaso!	-1
@BancodoBrasil bloqueio da minha conta, cobrança indevida... mas deixe estar, estou com os protocolos do SAC fora as inúmeras de ligações	-1
Alô @BancodoBrasil  vamos colocar mais gente p atendimento várias pessoas p atender com somente um atendimento!	-1
Olha @BancodoBrasil, maior decepção/stress de 2016... gerente da minha conta é um grosso, houve perda de documentos básicos como cpf e RG +	-1
I'm at @BancodoBrasil in São Paulo, SP https://t.co/inyLPqESvX	0
@BancodoBrasil minha esposa não consegue pois não envia o SMS	-1
@BancodoBrasil tem que melhorar o atendimento	-1
@rfischmann @BancodoBrasil banco do Brasil??? Sai fora que é rolo	-1
@BancodoBrasil mandei dm pra vocês 	
@BancodoBrasil bom dia conta fácil pelo app e quando estava   mexendo a senha foi bloqueada  e fui na agência e não sabiam como desbloquear	
@BancodoBrasil ah, obrigada. Mas no caso a melhor opção é cancelar no meu caso. Porque eu tô pagando tarifa atoa :'(	
@BancodoBrasil Eu já baixei o aplicativo BB, desbloqueei no caixa eletrônico e não funciona 😯 Já fui na agência recadastrar com ajuda e nada	-1
2017 vem aí e ainda precisamos de Java para acessar o internet banking do @BancodoBrasil.	-1
@BancodoBrasil fui destratado por um dos seus funcionários (como se fosse novidade), por favor invista mais em treinamento	-1
"@BancodoBrasil-OAS-INVEPAR DÃO GOLPES EM FUNDOS DE PENSÃO... https://t.co/S15mhof4cB
https://t.co/KOAmioJQdQ
ESTAMOS DE OLHO TAMBÉM..."	
@BancodoBrasil eu sim, mas os idosos tem muita dificuldade e não tem um funcionário que ajude eles. É falta de respeito com o correntista	-1
"Porque o atendimento do @BancodoBrasil é tão precário?
Cliente a 7 anos, e os atendentes são tão mal educados!"	-1
@BancodoBrasil quanto tempo leva para encerrarem uma conta? vejam DM por favor	
@BancodoBrasil O Banco que é #TodoMeu, será que eu consigo aumentar o limite do meu cartão, poderia analisar as condições? Segue DM. 💙💛💰💳	
Bom dia!!! Terei que cancelar minha com anos de relacionamento para poder adquirir este produto?#desconfiado #contafacil  @BancodoBrasil	
@BancodoBrasil Ah e o caso da senha no APP quero resolver também. 😔	0
@BancodoBrasil Olá Bom Dia! Continuo sem entrar na minha conta através do APP e aí como resolvo isso?. 😠😔	
@BancodoBrasil nao funcionou,Tem algo errado pois agora, apos ter feito restauraçaão no sistema so funciona no IE.	
@BancodoBrasil estou tentando pagar o cartão de crédito e tá dando o famoso ruim. Me ajudem. https://t.co/bgFTDcDlgZ	
@BancodoBrasil olá,  ainda não ficou claro quais são as tarifas cobradas por abrir e ter a conta em movimentação.	
Um banco que quer ser digital e nem pra acessar uma conta online não da. Vou te contar @BancodoBrasil	-1
Qual é a do espirito na foto?@BancodoBrasil https://t.co/M0oHILMKYr	0
I'm at BB CENOP Operações - @bancodobrasil in Curitiba, PR https://t.co/6MpwvFKhCN	0
Parece piada o @BancodoBrasil ligar oferecendo seguro residencial, sendo que  eles não liberam o dinheiro do financiamento imobiliário	-1
@BancodoBrasil Horrível receber uma impresso para PJ de 05/12 em 27/12 com uma forma de ameaça de um Banco que tem um lema que não vive😡😡😡😡😡	-1
