Text;Class
@BancodoBrasil confirmei meu endereço na central, se escreveram ele errado já não é comigo, né? vc até q ok mas a central é um nojo.;0
@BancodoBrasil bom dia. está dando q meu cartão nao foi entregue por endereço errado. vai rolar processinho, ou vou receber esse cartao?;0
@BancodoBrasil Financiamento do Minha casa minha vida, existe algum link onde posso ter maiores informações? Sou Correspondente Bancário;1
@pabllofeitosa17 @BancodoBrasil BB ruim;0
@BancodoBrasil Eu achei muito legal essa nova funcionalidade do App;1
@BancodoBrasil Ainda vou ver esse banco privatizado.;1
@BancodoBrasil ta de brincadeira comigo não é possível;0
@BancodoBrasil não consigo abrir uma conta pelo app, a mensagem SMS nunca chega...;0
@BancodoBrasil entendi,muito obrigado pela atenção ... Então é só ir no banco em que recebo meu salário e pedir migração imediata pro BB?;1
@BancodoBrasil obrigado pelo retorno e atenção, abraço.;1
Bom, já que não da pra cancelar de maneira fácil o cartão no @BancodoBrasil, amanhã vou na agencia e cancelo a conta corrente também (:;0
@BancodoBrasil que eu já perdi as contas de quanto tempo tô com vcs e já perdi as contas de quantas vezes reclamei e ninguém faz nada!;0
@BancodoBrasil minha antiga agência! Portanto, não consigo fazer a senha da internet!! Uma coisa tão simples que vcs burocratizam tanto;0
@BancodoBrasil propaganda bonita e tals!! Mas não dá pra contar com vcs sempre! Tipo, tô tentando fazer a senha da internet e nada até agora;0
Os bancos @itau e @BancodoBrasil resolveram 'marketilizar' as emoções. Acho ridículo isso.;0
Vou tentar ne relacionar com o @BancodoBrasil;1
@BancodoBrasil poluição visual de um banco afundado em corrupção;0
Apesar d tudo q soube hj sobre o prod. q adquiri do @BancodoBrasil  c/1monte d infos. ocultadas na propaganda.Fui mto bem atendido aki no TT;1
@NetflixBrasil quero débito em conta no @BancodoBrasil querida!!;1
@BancodoBrasil Ótimo atendimento de Gilberto e Michel, da Agência 3518, Centro do Rio de Janeiro/RJ, hoje à tarde.;1
Achei um amor o @BancodoBrasil me responder. Tava precisando mesmo;1
@BancodoBrasil Boa tarde. Meu cartão ainda não chegou, mas assim que chegar irei fazer isso. Obrigada pela atenção ☺️;1
@BancodoBrasil me contratem novamente, quero voltar para o CENOP, fazer os cálculos, por favooooooor ❤;1
@BancodoBrasil não respondeu meu Twitter;0
@BancodoBrasil central de atendimento, pelo 40040001. Fiquei tão feliz de ter resolvido a questão q esqueci de fazer a avaliação e desliguei;1
I'm at @BancodoBrasil in Goiânia, GO https://t.co/DeDLtunHw7;1
Eu aprender algo no trabalho kkkkkkkk nunca um dos piores lugares para se trabalhar e no @BancodoBrasil;0
I'm at @BancodoBrasil in João Pessoa, PB w/ @ceicinhamontei @alysson_z @sylviaregina_ca @aleciangeles https://t.co/htdTYDA2vS;1
